,vehicle_id,time,x,y
97120,flow_0.83,1530,461.8270445639325,-1.6
97123,flow_1.82,1530,686.2022496633336,-8.0
97125,flow_1.84,1530,202.8679520977676,-1.6
97181,flow_0.80,1531,504.8,333.6817351795286
97183,flow_0.82,1531,501.6,266.7859419518312
97184,flow_0.83,1531,474.0073843865309,-1.6
97187,flow_1.82,1531,700.2882071136022,-8.0
97189,flow_1.84,1531,215.40332995557307,-1.6
97190,flow_1.85,1531,5.1,-4.8
97245,flow_0.80,1532,504.8,348.1788478665131
97247,flow_0.82,1532,501.6,282.6440927953239
97248,flow_0.83,1532,481.68772420912927,-1.6
97251,flow_1.82,1532,714.4522250021452,-8.0
97253,flow_1.84,1532,228.9313068028096,-1.6
97254,flow_1.85,1532,7.223138249176554,-4.8
97310,flow_0.80,1533,504.8,362.6129558615988
97312,flow_0.82,1533,501.6,298.48438641953777
97313,flow_0.83,1533,484.86806403172767,-1.6
97316,flow_1.82,1533,728.6244300149376,-8.0
97318,flow_1.84,1533,243.417527836642,-1.6
97319,flow_1.85,1533,10.749215346225537,-4.8
97376,flow_0.80,1534,504.8,377.3501973887168
97378,flow_0.82,1534,501.6,313.8656522219016
97379,flow_0.83,1534,485.36716558550535,-1.6
97382,flow_1.82,1534,742.7532774480873,-8.0
97384,flow_1.84,1534,256.7744708494092,-1.6
97385,flow_1.85,1534,16.58276597743388,-4.8
97442,flow_0.80,1535,504.8,391.3164479703895
97444,flow_0.82,1535,501.6,330.4773744033447
97445,flow_0.83,1535,485.39151326080486,-1.6
97448,flow_1.82,1535,756.2780462847091,-8.0
97450,flow_1.84,1535,271.5915724219846,-1.6
97451,flow_1.85,1535,24.75091352087911,-4.8
97508,flow_0.80,1536,504.8,406.2518035480598
97510,flow_0.82,1536,501.6,346.5141709199988
97511,flow_0.83,1536,485.3985837416789,-1.6
97514,flow_1.82,1536,770.231820075086,-8.0
97516,flow_1.84,1536,285.7635128068967,-1.6
97517,flow_1.85,1536,34.82156534825917,-4.8
97574,flow_0.80,1537,504.8,420.8554762872771
97576,flow_0.82,1537,501.6,361.9005025627988
97577,flow_0.83,1537,485.39892137512606,-1.6
97580,flow_1.82,1537,784.326033567987,-8.0
97582,flow_1.84,1537,300.42264096404216,-1.6
97583,flow_1.85,1537,46.26476419081445,-4.8
97638,flow_0.80,1538,504.8,435.34047758322765
97640,flow_0.82,1538,501.6,378.2898989757804
97641,flow_0.83,1538,485.39892137512606,-1.6
